BookID,Title,AuthID
BB194,Ballinby Boys,AM329
NC652,Nothing But Capers,AS443
AD222,Alanna Saves the Day,BH149
PA169,Post Alley,BM856
TC188,Thatchwork Cottage,BM856
ZT703,Zero over Twelve,BM856
PP866,Portmeirion,BT132
RR774,Rystwyth,BT132
TM925,The Mallemaroking,BT132
CH391,Can I Be Honest?,CF829
NL209,No More Lightning,CF829
NR695,9803 North Millworks Road,CS190
TH296,The Winchcombe Railway Museum Heist,CS190
MM424,(im)Mortality,CW626
TP887,the life and times of an utterly inconsequential person,DB605
LS176,Land Water Sky Space,EH487
AY135,And I Said Yes,EK605
IA439,Interrobangs for All,EK605
KA663,Kalakalal Avenue,EK605
BF889,Banana Slug and the Glass Half Full,GG800
NB483,"Not to Gossip, But",GG800
TI225,The Thing Is,GG800
CP573,Concerning Prophecy,GH671
BC244,Banana Slug and the Lost Cow,HB302
BF374,Banana Slug and Xyr Friends,HB302
CC830,Cimornul,JH502
QQ737,Quiddity and Quoddity,JH502
TH556,The Startling End of Mr. Hidhoo,JK592
SS693,Say it with Snap!,JS525
TH143,The Elephant House,JS525
AM124,A Horrible Human with the Habits of a Monster,KD840
TT359,Turn Left Til You Get There,KE397
DR914,Dust on the Rim,KY296
TC401,Tales of the Compass,KY296
BS284,Burnished Silver,LD375
DY800,Did You Hear?,LD375
LB510,Lace and Brandy,LD375
MW621,Muddy Waters,LD375
SE355,Saint Esme,LD375
TO369,The Scent of Oranges,LD375
TS869,The Seawitch Sings,LD375
WG715,Whither Thou Goest,LD375
SS361,Some Eggs or Something?,LK915
HS107,Hashtag QuokkaSelfie,LL585
IG460,It's Never Just a Glass,LN356
BR858,Banana Slug and the Mossy Rock,MW974
HP265,Heliotrope Pajamas,MW974
IC739,Inconvenient Confessions: a memoir,OL640
WK456,Who Did You Think You Were Kidding?,PA878
NP937,Natural Pamplemousse,PB147
WO506,We're Sisters and We Kinda Like Each Other,PH273
DE571,Don't Check your Ego,RL217
ST303,"Soft, Pliable Truth",RP438
ST862,She Also Tottered,RP438
TA182,The Spark and The Ashes,UK129
TT773,The Triscanipt,UK129
AK974,Adventures of Kaya,WH901
DG384,The Deep Grey,RM781
