ISBN,BookID,Format,PubID,Publication Date,Pages,Print Run Size (k),Price
989-28-79-70597-8,TT359,Hardcover,ESP,2178-06-02,277,15,27.99
989-28-654-6930-3,NP937,Hardcover,PP,2178-08-18,394,6,30.99
989-28-79-52883-6,PA169,Hardcover,PP,2178-09-08,384,10,27.99
989-28-79-43574-5,TM925,Graphic,ESP,2178-09-15,187,8,23.99
989-28-654-5794-2,HS107,Hardcover,PP,2178-09-29,640,3,26.99
989-28-79-44730-4,DR914,Mass market paperback,ESP,2179-01-05,575,4,8.99
989-28-654-5771-3,HS107,Trade paperback,PP,2179-01-12,631,5,15.99
989-28-79-04510-4,TT359,Mass market paperback,ESP,2179-02-16,264,25,8.99
989-28-79-18127-7,AY135,Hardcover,ESP,2179-04-24,704,15,27.99
989-28-79-68089-3,BB194,Hardcover,ESP,2179-05-18,401,10,21.5
989-28-79-22871-2,TI225,Mass market paperback,ESP,2179-07-13,452,15,8.99
989-28-79-01991-4,PA169,Trade paperback,PP,2179-09-07,356,16,12.5
989-28-654-0047-4,NP937,Trade paperback,PP,2180-04-18,371,6,15.99
989-28-79-67891-3,SS361,Hardcover,ESP,2180-07-25,105,14,27.99
989-28-654-2620-7,NC652,Hardcover,PP,2180-09-12,390,4,32.99
989-28-3705-054-6,HP265,Paperback,CHP,2181-03-06,28,18,7.99
989-28-79-45675-7,SS361,Trade paperback,ESP,2181-07-03,105,20,12.5
989-28-79-82749-6,NR695,Hardcover,ESP,2181-07-10,384,5,22.99
989-28-79-30536-9,NB483,Mass market paperback,ESP,2181-07-26,311,22,8.99
989-28-229-1404-4,TS869,Mass market paperback,SSC,2181-12-11,381,11,9.5
989-28-229-7592-2,MW621,Mass market paperback,SSC,2182-03-05,362,13,9.5
989-28-3705-222-9,AK974,Trade paperback,CHP,2182-07-23,256,35,11.99
989-28-79-69807-2,NR695,Mass market paperback,ESP,2182-09-24,414,12,8.99
989-28-79-42728-3,IA439,Hardcover,ESP,2182-11-05,493,20,27.99
989-28-654-7965-4,WO506,Hardcover,PP,2182-12-17,288,3,29.99
989-28-79-87459-9,TH556,Graphic,ESP,2182-12-21,88,3,23.99
989-28-229-6632-6,WG715,Mass market paperback,SSC,2183-02-14,423,16,9.5
989-28-79-32105-5,DY800,Mass market paperback,ESP,2183-02-25,390,29,8.99
989-28-79-71565-6,TM925,Hardcover,ESP,2183-02-25,819,25,21.5
989-28-79-43841-8,QQ737,Hardcover,ESP,2183-04-01,373,3,18.5
989-28-79-61125-5,IA439,Trade paperback,ESP,2183-05-27,470,40,12.5
989-28-654-0127-3,WO506,Trade paperback,PP,2183-12-09,295,7,16.99
989-28-654-9826-6,DE571,Hardcover,PP,2183-12-16,480,4,28.99
989-28-654-8573-0,TH143,Hardcover,PP,2184-01-13,598,9,23.99
989-28-79-82125-8,TH296,Hardcover,ESP,2184-02-10,293,10,22.99
989-28-79-14379-4,QQ737,Trade paperback,ESP,2184-02-29,373,42,11.99
989-28-654-6033-1,TH143,Trade paperback,PP,2185-01-04,598,12,15.99
989-28-229-0197-6,TO369,Mass market paperback,SSC,2185-02-08,255,20,9.5
989-28-654-4370-9,DE571,Trade paperback,PP,2185-03-29,480,5,15.99
989-28-79-13801-1,TM925,Mass market paperback,ESP,2185-07-19,672,71,8.99
989-28-3705-633-3,IG460,Hardcover,CHP,2185-08-09,222,3,19.99
989-28-3705-987-7,AD222,Trade paperback,CHP,2185-09-22,188,10,8.99
989-28-79-13871-4,TH296,Mass market paperback,ESP,2185-09-27,357,25,8.99
989-28-79-05638-4,TC188,Hardcover,ESP,2185-11-15,485,12,27.99
989-28-79-91028-0,TM925,Trade paperback,ESP,2186-04-14,784,50,12.5
989-28-3705-966-2,HP265,Paperback,CHP,2186-05-02,31,25,10.99
989-28-3705-607-4,IG460,Trade paperback,CHP,2186-07-25,218,10,11.99
989-28-229-5891-8,LB510,Mass market paperback,SSC,2186-07-25,380,25,9.5
989-28-3705-592-3,BF889,Board book,CHP,2186-10-10,12,8,6.99
989-28-79-82197-5,TC188,Trade paperback,ESP,2186-12-05,469,20,12.5
989-28-79-22562-9,ZT703,Hardcover,ESP,2186-12-12,356,18,20.99
989-28-79-40897-8,PP866,Hardcover,ESP,2187-02-20,656,32,21.5
989-28-79-23015-9,CH391,Hardcover,ESP,2187-03-06,404,2,18.5
989-28-3705-152-9,BF889,Paperback,CHP,2187-04-03,20,10,7.99
989-28-3705-583-1,BC244,Board book,CHP,2187-05-08,13,10,6.99
989-28-79-07610-8,KA663,Hardcover,ESP,2187-05-15,432,25,27.99
989-28-3705-649-4,BR858,Board book,CHP,2187-07-10,11,10,6.99
989-28-79-51397-9,TT773,Hardcover,ESP,2187-08-28,292,40,21.5
989-28-3705-775-0,BC244,Paperback,CHP,2187-11-06,22,15,7.99
989-28-79-05670-4,ZT703,Mass market paperback,ESP,2187-11-20,338,26,8.99
989-28-3705-136-9,BR858,Paperback,CHP,2188-01-08,15,17,7.99
989-28-79-56856-6,CC830,Hardcover,ESP,2188-02-19,434,25,21.5
989-28-79-26824-4,TT773,Mass market paperback,ESP,2188-04-08,280,40,8.99
989-28-229-3157-7,SE355,Mass market paperback,SSC,2188-04-15,336,35,9.5
989-28-3705-492-6,CH391,Trade paperback,CHP,2188-04-24,404,7,11.99
989-28-3705-138-3,BF374,Board book,CHP,2188-05-27,12,18,6.99
989-28-3705-007-2,HP265,Board book,CHP,2188-06-03,16,55,5.99
989-28-3705-369-1,BF374,Paperback,CHP,2188-10-14,20,18,7.99
989-28-79-23023-4,PP866,Mass market paperback,ESP,2188-10-21,792,78,8.99
989-28-79-21991-8,KA663,Mass market paperback,ESP,2188-11-25,341,45,8.99
989-28-79-68531-7,ST303,Hardcover,ESP,2189-01-06,437,7,21.5
989-28-79-96705-5,CC830,Mass market paperback,ESP,2189-03-17,381,50,8.99
989-28-79-16826-1,AM124,Graphic,ESP,2189-03-24,85,3,23.99
989-28-654-2017-5,IC739,Hardcover,PP,2189-06-09,337,16,29.99
989-28-79-16533-8,ST862,Hardcover,ESP,2190-02-16,531,9,21.5
989-28-79-69359-6,CP573,Hardcover,ESP,2190-03-02,706,6,21.5
989-28-79-16808-7,ST303,Trade paperback,ESP,2190-05-18,458,11,12.5
989-28-654-5018-9,IC739,Trade paperback,PP,2190-07-15,385,20,16.99
989-28-79-36485-4,ST862,Trade paperback,ESP,2190-09-14,520,15,12.5
989-28-79-27078-0,NL209,Graphic,ESP,2190-10-05,192,4,23.99
989-28-79-55824-6,CP573,Mass market paperback,ESP,2190-12-21,651,15,8.99
989-28-79-82339-9,TC401,Hardcover,ESP,2191-02-22,421,10,21.5
989-28-654-9484-8,SS693,Hardcover,PP,2191-03-01,400,8,23.99
989-28-654-3988-7,LS176,Hardcover,PP,2191-03-15,368,2,48
989-28-79-86624-2,TP887,Hardcover,ESP,2191-05-14,1296,30,35.84
989-28-79-64693-6,AY135,Trade paperback,ESP,2191-08-25,645,36,12.5
989-28-229-9769-6,BS284,Mass market paperback,SSC,2191-09-20,368,37,9.5
989-28-3705-763-7,MM424,Hardcover,CHP,2191-11-15,324,3,22.99
989-28-79-74374-1,RR774,Hardcover,ESP,2192-01-03,1218,40,21.5
989-28-79-55752-2,TC401,Mass market paperback,ESP,2192-04-03,398,18,8.99
989-28-654-6507-7,SS693,Trade paperback,PP,2192-05-15,387,8,15.99
989-28-79-03683-6,TA182,Hardcover,ESP,2192-07-03,340,35,18.5
989-28-654-3899-6,WK456,Hardcover,PP,2192-08-14,207,2,29.99
