Sale Date,ISBN,Discount,ItemID,OrderID
2193-07-01,989-28-79-68089-3,0.15,107200-1-6303,107178-18776
2193-07-01,989-28-3705-987-7,,107200-74-9148,107200-18626
2193-07-01,989-28-3705-987-7,,107200-7-214,107200-18627
2193-07-01,989-28-3705-966-2,,107200-53-5192,107200-18628
2193-07-01,989-28-3705-987-7,,107200-21-2003,107200-18629
2193-07-01,989-28-3705-592-3,,107200-35-3338,107200-18630
2193-07-01,989-28-3705-007-2,,107200-30-2724,107200-18631
2193-07-01,989-28-3705-007-2,,107200-57-8162,107200-18632
2193-07-01,989-28-3705-152-9,,107200-63-5665,107200-18633
2193-07-01,989-28-3705-987-7,,107200-17-1702,107200-18634
2193-07-01,989-28-3705-007-2,,107200-11-6234,107200-18635
2193-07-01,989-28-3705-987-7,,107200-92-493,107200-18636
2193-07-01,989-28-3705-007-2,,107200-27-7622,107200-18637
2193-07-01,989-28-3705-987-7,,107200-31-2457,107200-18638
2193-07-01,989-28-3705-592-3,,107200-15-4713,107200-18639
2193-07-01,989-28-3705-592-3,,107200-39-2909,107200-18640
2193-07-01,989-28-3705-007-2,,107200-74-2274,107200-18641
2193-07-01,989-28-79-07610-8,,107200-50-9952,107200-18642
2193-07-01,989-28-79-32105-5,,107200-64-9118,107200-18643
2193-07-01,989-28-79-61125-5,,107200-80-2646,107200-18644
2193-07-01,989-28-79-22871-2,,107200-64-8835,107200-18645
2193-07-01,989-28-79-52883-6,,107200-8-9801,107200-18646
2193-07-01,989-28-79-82197-5,,107200-48-5996,107200-18647
2193-07-01,989-28-79-45675-7,,107200-91-6620,107200-18648
2193-07-01,989-28-79-16826-1,,107200-51-6624,107200-18649
2193-07-01,989-28-79-04510-4,,107200-22-8711,107200-18650
2193-07-01,989-28-79-27078-0,,107200-78-3382,107200-18651
2193-07-01,989-28-79-45675-7,,107200-26-9266,107200-18652
2193-07-01,989-28-79-11297-4,,107200-56-9844,107200-18653
2193-07-01,989-28-79-86624-2,,107200-22-8704,107200-18654
2193-07-01,989-28-79-21991-8,,107200-88-2557,107200-18655
2193-07-01,989-28-79-11297-4,,107200-74-1807,107200-18656
2193-07-01,989-28-79-11297-4,,107200-10-8065,107200-18657
2193-07-01,989-28-79-30536-9,,107200-60-1063,107200-18658
2193-07-01,989-28-79-32105-5,,107200-4-9334,107200-18659
2193-07-01,989-28-654-5018-9,,107200-75-5445,107200-18660
2193-07-01,989-28-79-82125-8,,107200-87-9588,107200-18661
2193-07-01,989-28-79-13871-4,,107200-63-6401,107200-18662
2193-07-01,989-28-79-69807-2,,107200-1-577,107200-18663
2193-07-01,989-28-79-69807-2,,107200-50-8204,107200-18664
2193-07-01,989-28-79-69807-2,,107200-8-9654,107200-18665
2193-07-01,989-28-79-69807-2,,107200-83-5117,107200-18666
2193-07-01,989-28-79-82749-6,,107200-77-6543,107200-18667
2193-07-01,989-28-79-82749-6,,107200-25-1369,107200-18668
2193-07-01,989-28-79-69807-2,,107200-83-5116,107200-18669
2193-07-01,989-28-79-82749-6,,107200-1-5357,107200-18670
2193-07-01,989-28-79-13871-4,,107200-98-3288,107200-18671
2193-07-01,989-28-79-69807-2,,107200-8-9653,107200-18672
2193-07-01,989-28-79-82125-8,,107200-30-8324,107200-18673
2193-07-01,989-28-79-13871-4,,107200-86-8786,107200-18674
2193-07-01,989-28-79-05670-4,,107200-46-5554,107200-18675
2193-07-01,989-28-79-82749-6,,107200-20-7584,107200-18676
2193-07-01,989-28-79-69807-2,,107200-69-8274,107200-18677
2193-07-01,989-28-79-69807-2,,107200-1-576,107200-18678
2193-07-01,989-28-79-05670-4,,107200-6-4649,107200-18679
2193-07-01,989-28-79-05670-4,,107200-97-2302,107200-18680
2193-07-01,989-28-79-05670-4,,107200-25-6994,107200-18681
2193-07-01,989-28-79-13871-4,,107200-86-8785,107200-18682
2193-07-01,989-28-79-69807-2,,107200-77-7984,107200-18683
