BookID1,BookID2,Genre,SeriesID,Volume Number,Staff Comment
MM,424,Young Adult,,,Would you want to live forever? Doesn't that depend on what sort of life you'd have—and who you'd spend it with? 
NR,695,Mystery,IR-ESP,1,
AM,124,Fiction,,,"""This graphic novel is better than years of marriage counceling"""
AK,974,Young Adult,,,
AD,222,Childrens,,,"Alanna didn't expect this Tuesday to be any different than the Tuesday before, and the Tuesday before that. She was wrong. Can she make it to Wednesday?"
AY,135,Fiction,,,
BB,194,SciFi/Fantasy,,,What? Disaster. Where? The stars. When? Now. Who? The Ballinby Boys. How? You'll have to turn the page to find out…
BF,889,Childrens,BS-CHP,1,"Glug glug glug, BANANA SLUG! "
BC,244,Childrens,BS-CHP,2,Can Banana Slug find Farmer Fern's missing cow before dark?
BR,858,Childrens,BS-CHP,3,Come play on a rainy day! Bad weather can't stop Banana Slug!
BF,374,Childrens,BS-CHP,4,
BS,284,Romance,EL-SSC,7,Book Seven of Esme's Ladies
CH,391,Young Adult,,,
CC,830,SciFi/Fantasy,,,
CP,573,SciFi/Fantasy,,,"As someone who hates prophecy, Lydan seems an unlikely guardian of the Prophetic Vaults of Yu'ul. But it was prophecied that someone matching her description would someday save Yu'ul from its doom. The Elders don't take such things lightly. But what, Lydan asks herself, does it mean to save something? Especially when the cost is...concerning. "
DY,800,Fiction,MT-ESP,3,"""The best beach-book I've ever read"" ""Easy and fun without being vapid"" "
DE,571,Nonfiction,,,
DR,914,SciFi/Fantasy,,,
HS,107,Nonfiction,,,"#QuokkaSelfie took the internet by storm in the early 21s. These adorable marsupials, quickly dubbed ""the happiest animal on Earth"" became an internet sensation when tourists started posting selfies with the smiling mammals. Rottnest Island, once an Australian Aboriginal penal colony, transformed into an eco-tourism destination thanks to these picture-perfect smiling creatures. But even beaming quokkas can't escape the darker side of intense human attention. Reports began circulating of quokkas being kicked liked footballs. Instagram labeled #QuokkaSelfie as potentially violating animal welfare. Conservationists decried ""lumpy jaw"", a potentially fatal infection caused by bread fed to these herbivores from human hands. In this—ultimately hopeful—exploration of #QuokkaSelfie, Langston Lippman and colleagues take a deeper look at the phenomenon of celebrating nature to the brink of destroying it. "
HP,265,Childrens,,,"Wilberforce isn't sure about bedtime in a new bed, in a new house, in a new town. But when his grandmother brings him a pair of heliotrope pajamas, Wilberforce finds out bedtime can be downright magical. "
IC,739,Memoir,,,"Lowry's comedic genius shines through every moment of her memoir. Told with clear eyes and biting wit, the anecdotes of each chapter bring to life a world of eccentric academics. The literarily-inclinded daughter of a physicist  and an epidemiologist, Lowry was forced to find her own way toward normal through an upbringing that was anything but. "
IA,439,Fiction,,,
IG,460,Young Adult,,,
KA,663,Fiction,,,
LB,510,Romance,EL-SSC,5,Book Five of Esme's Ladies
LS,176,Nonfiction,,,
MW,621,Romance,EL-SSC,2,Book Two of Esme's Ladies
NP,937,Nonfiction,,,
NL,209,Fiction,,,"Beloved author Charles Fenimore strikes out in a new direction with his first graphic novel. In this devestating tale of daring, ingenuity, and just a dash of  luck, Fenimore dmonstrates his genius for combining visual flare and cutting prose. Uchon's mechanical contraption to tame lightning brings its own threats to her tinder-box community stricken by wildfires. Will Uchon's luck run out on the eve of the biggest lightning storm to threaten the sleepy town of Delanro in decades? "
NB,483,Fiction,MT-ESP,2,"""I never thought I'd enjoy a trashy, light chick-lit series. But here I am, and Green is rapidly becoming my favorite author!"""
NC,652,Nonfiction,,,"When his wife set out to write her magnum opus cookbook, food critic Stackhouse thought the hardest part would be making sure he didn't outgrow his favorite slacks. He never expected that amidst the thyme and roux and cleavers, their relationship would be tried, tested, and ultimately perfected. Tastefully seasoned with the recipes that brought them to the brink, ""Nothing But Capers"" follows the tumult that strained then saved his marriage and his life. "
PP,866,SciFi/Fantasy,MM-ESP,2,No one saw it coming. No one could escape the effects. No one could imagine what would come next. 
PA,169,Fiction,,,
QQ,737,Young Adult,,,Debut novel from Jill Hergesheimer
RR,774,SciFi/Fantasy,MM-ESP,3,"The triumphant, tragic, unimaginable third installment in the Mallemaroking saga"
SE,355,Romance,EL-SSC,6,Book Six of Esme's Ladies
SS,693,Nonfiction,,,"Long-winded talkers waste time for themselves and those who listen. When you have something to say, get to the point. Say it with Snap! "
ST,862,SciFi/Fantasy,,,
ST,303,SciFi/Fantasy,,,
SS,361,Fiction,,,
TC,401,SciFi/Fantasy,,,
TC,188,Fiction,,,
TH,143,Nonfiction,,,
TP,887,Fiction,,,
TM,925,SciFi/Fantasy,MM-ESP,1,"An epic on the scale of Game of Thrones and The Lord of the Rings. The Mallemaroking is a book that cannot be defined, only experienced. "
TO,369,Romance,EL-SSC,4,Book Four of Esme's Ladies
TS,869,Romance,EL-SSC,1,Book One of Esme's Ladies
TA,182,Young Adult,,,
TH,556,Fiction,,,"Mr. Hidoo, with his kind smile and perpetual silence, is easy to overlook. Until he turns up dead. "
TI,225,Fiction,MT-ESP,1,"""The thing is, 'The Thing Is' is exactly what you need. Don't believe me? Give it a try."""
TT,773,SciFi/Fantasy,,,
TH,296,Mystery,IR-ESP,2,
TT,359,Fiction,AT-ESP,1,
WO,506,Memoir,,,"""Only a sister knows the difference between a strangle and a hug"""
WG,715,Romance,EL-SSC,3,Book Three of Esme's Ladies
WK,456,Memoir,,,"Antrim's ability to make you laugh through your tears has never been stronger than in his memoirs. Diagnosed with terminal cancer at 38, Antrim reflects back on his life with the grace and wisdom of a man twice his age. ""Who Did You Think You Were Kidding"" reminds us that even on a sad path toward a death far too soon, the journey is what matters. "
ZT,703,Mystery,,,
DG,384,Fiction,,,The most anticipated release of the coming year!
